target,baseline_features,baseline_mae,baseline_r2,enhanced_features,enhanced_mae,enhanced_r2,improvement_points,improvement_pct
PTS,23,5.453694669968485,0.41136967100361355,38,5.447953585490896,0.41271652677997195,0.00574108447758892,0.10526963508248796
REB,23,2.134165778504716,0.42619113482098625,38,2.1337202854948987,0.4262024575992279,0.00044549300981744366,0.02087433948685909
AST,23,1.646843649170396,0.448173518336477,38,1.641881720539019,0.4516193272395391,0.0049619286313768995,0.30129931483638356
