experiment,name,features,train_mae,val_mae,test_mae,improvement_pct
EXP4_XGBoost_Interact,XGBoost + Interactions,35,5.27212370724956,5.439853259114658,5.44926215113215,3.6310656642682786
EXP5_Ensemble,Ensemble (55% Lasso),23,,5.4337777140671095,5.450225021778135,3.614037520735589
EXP1_Lasso,Lasso (baseline),23,5.3844289499391245,5.440183814283773,5.453694669968485,3.552677599089243
EXP2_XGBoost,XGBoost,23,5.342803314785252,5.439933971891216,5.457658679332455,3.4825750150131083
EXP3_XGBoost_Deep,XGBoost (depth=5),23,5.242689370627895,5.4454394123600975,5.4679612408070515,3.3003766104035983
